Book_ID,Title,Author,Genre,SubGenre,Publisher,Language,Pages,Publication_Year,Rating,Votes,Price,ISBN,Description,Cover_Image
1,The Crimson Code 1,Author 20,Philosophy,Contemporary,Publisher 8,Urdu,703,2003,1.7,10189,1003,0398759437274,"A compelling philosophy novel by Author 20 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
2,The Forgotten Mind 2,Author 38,Drama,Contemporary,Publisher 24,English,254,2023,4.5,38901,362,7049425828628,"A compelling drama novel by Author 38 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
3,The Forgotten Dreams 3,Author 53,Horror,Medieval,Publisher 2,English,370,2026,1.7,15878,1039,0665769999756,"A compelling horror novel by Author 53 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
4,The Bright Legacy 4,Author 36,Historical,AI,Publisher 29,Spanish,910,1990,1.8,18165,436,9195829314940,"A compelling historical novel by Author 36 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
5,The Crimson Forest 5,Author 44,Philosophy,AI,Publisher 24,Spanish,314,1993,3.7,9673,1487,2591323491347,"A compelling philosophy novel by Author 44 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
6,The Emerald Future 6,Author 45,Adventure,Contemporary,Publisher 25,Spanish,323,2009,4.7,18875,1588,0779400803436,"A compelling adventure novel by Author 45 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
7,The Hidden Future 7,Author 72,Thriller,Python,Publisher 28,Urdu,904,1982,2.9,11957,926,3615195083852,"A compelling thriller novel by Author 72 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
8,The Dark Journey 8,Author 43,Children,Cyberpunk,Publisher 19,Urdu,570,2018,1.9,5081,1554,5012230500601,"A compelling children novel by Author 43 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
9,The Golden Legacy 9,Author 17,Technology,Cyberpunk,Publisher 27,Hindi,801,2002,1.7,29951,578,9646512104959,"A compelling technology novel by Author 17 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
10,The Crimson Forest 10,Author 5,Technology,AI,Publisher 22,Hindi,342,2013,3.2,16401,1352,6424926660673,"A compelling technology novel by Author 5 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
11,The Silent Future 11,Author 85,Technology,Psychological,Publisher 2,Hindi,137,2001,1.9,38231,691,2117031511359,"A compelling technology novel by Author 85 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
12,The Bright Mind 12,Author 128,Children,Python,Publisher 10,Spanish,665,2004,3.4,31341,1275,1506146938841,"A compelling children novel by Author 128 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
13,The Infinite Mind 13,Author 143,Technology,Gothic,Publisher 4,Spanish,550,2013,1.8,21498,1242,8887668294688,"A compelling technology novel by Author 143 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
14,The Dark Legacy 14,Author 83,Children,Contemporary,Publisher 26,Spanish,466,1985,1.6,18911,572,0702061208786,"A compelling children novel by Author 83 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
15,The Dark Dreams 15,Author 34,Adventure,Productivity,Publisher 30,French,162,2026,1.6,5760,1773,0684644309875,"A compelling adventure novel by Author 34 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
16,The Golden Legacy 16,Author 79,Business,Gothic,Publisher 15,French,680,2026,4.7,7082,781,9428668193687,"A compelling business novel by Author 79 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
17,The Emerald Legacy 17,Author 43,Business,Python,Publisher 12,Urdu,887,2009,2.9,13073,249,7212889774367,"A compelling business novel by Author 43 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
18,The Lost Legacy 18,Author 135,Health,AI,Publisher 18,Urdu,233,2024,4.2,42417,1990,9238263263749,"A compelling health novel by Author 135 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
19,The Golden Journey 19,Author 100,Science Fiction,Contemporary,Publisher 17,Hindi,181,2013,1.2,9045,505,3632595504462,"A compelling science fiction novel by Author 100 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
20,The Crimson River 20,Author 94,Young Adult,Contemporary,Publisher 11,Spanish,173,1999,2.0,48746,831,1301978990892,"A compelling young adult novel by Author 94 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
21,The Golden Code 21,Author 85,Drama,Python,Publisher 18,English,917,2021,2.2,32370,1429,2074191290088,"A compelling drama novel by Author 85 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
22,The Emerald Secrets 22,Author 124,Horror,Cozy,Publisher 12,Spanish,339,1992,4.9,37678,1540,7897039591101,"A compelling horror novel by Author 124 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
23,The Emerald Secrets 23,Author 2,Adventure,AI,Publisher 12,Urdu,837,2010,4.3,33221,1016,3852315371662,"A compelling adventure novel by Author 2 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
24,The Dark Dreams 24,Author 105,Philosophy,Epic,Publisher 14,Spanish,335,1999,1.2,18022,918,6619036786621,"A compelling philosophy novel by Author 105 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
25,The Lost Empire 25,Author 148,Programming,Gothic,Publisher 4,Spanish,679,2025,1.5,15615,923,1823118790500,"A compelling programming novel by Author 148 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
26,The Lost Future 26,Author 77,Business,Python,Publisher 20,Hindi,625,2024,2.9,12491,1898,8588188971780,"A compelling business novel by Author 77 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
27,The Bright Future 27,Author 56,Adventure,Epic,Publisher 6,English,605,2015,4.6,32944,822,0693165018053,"A compelling adventure novel by Author 56 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
28,The Hidden Dreams 28,Author 54,Historical,Python,Publisher 17,Spanish,902,1997,2.2,17004,606,7593417288285,"A compelling historical novel by Author 54 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
29,The Bright Future 29,Author 48,Philosophy,Cyberpunk,Publisher 17,Urdu,661,1992,4.2,27540,641,2073001396041,"A compelling philosophy novel by Author 48 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
30,The Silent Journey 30,Author 34,Business,Epic,Publisher 9,English,644,2002,4.3,2002,219,1959322779313,"A compelling business novel by Author 34 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
31,The Golden Future 31,Author 15,Health,Psychological,Publisher 27,Urdu,475,1987,3.6,36868,1143,3850630032184,"A compelling health novel by Author 15 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
32,The Bright Future 32,Author 31,Biography,Productivity,Publisher 10,English,137,2026,3.9,21309,759,9969935198790,"A compelling biography novel by Author 31 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
33,The Infinite Empire 33,Author 57,Philosophy,Cyberpunk,Publisher 24,French,261,2025,2.1,20973,1162,8432580978504,"A compelling philosophy novel by Author 57 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
34,The Bright Journey 34,Author 1,Historical,Cozy,Publisher 22,Urdu,339,2017,4.5,8811,904,0296272707756,"A compelling historical novel by Author 1 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
35,The Infinite Journey 35,Author 50,Technology,Productivity,Publisher 30,Urdu,187,2016,4.1,23386,413,6055974099023,"A compelling technology novel by Author 50 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
36,The Infinite Legacy 36,Author 34,Finance,Psychological,Publisher 22,English,942,1986,1.5,41113,760,3742527146690,"A compelling finance novel by Author 34 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
37,The Forgotten Future 37,Author 102,Historical,Cozy,Publisher 28,French,307,2000,3.7,45062,1925,5077386519298,"A compelling historical novel by Author 102 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
38,The Golden Forest 38,Author 7,Drama,AI,Publisher 26,French,714,2007,1.3,18746,1247,4122208633768,"A compelling drama novel by Author 7 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
39,The Dark Legacy 39,Author 20,Adventure,AI,Publisher 13,Hindi,351,2017,1.8,48816,1520,1347939324427,"A compelling adventure novel by Author 20 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
40,The Silent Forest 40,Author 30,Biography,AI,Publisher 6,French,168,2009,1.8,4027,1215,5747395010461,"A compelling biography novel by Author 30 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
41,The Forgotten Legacy 41,Author 25,Finance,Psychological,Publisher 22,Hindi,869,2011,1.6,29615,906,9111188329297,"A compelling finance novel by Author 25 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
42,The Hidden Journey 42,Author 55,Health,Medieval,Publisher 10,French,827,2003,3.6,29106,905,2380444404223,"A compelling health novel by Author 55 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
43,The Hidden Future 43,Author 139,Drama,AI,Publisher 24,French,274,1987,2.1,6869,1233,4770769150991,"A compelling drama novel by Author 139 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
44,The Hidden Empire 44,Author 128,Horror,Contemporary,Publisher 10,French,142,1982,4.8,39319,681,9968529191520,"A compelling horror novel by Author 128 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
45,The Lost Secrets 45,Author 70,Science Fiction,Productivity,Publisher 3,French,537,1996,1.2,41914,1868,6380871816850,"A compelling science fiction novel by Author 70 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
46,The Golden Secrets 46,Author 86,Programming,Psychological,Publisher 22,Urdu,802,2002,2.3,17711,794,2630322526508,"A compelling programming novel by Author 86 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
47,The Dark Legacy 47,Author 90,Horror,Epic,Publisher 17,English,449,2025,4.1,31271,1177,7621250813014,"A compelling horror novel by Author 90 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
48,The Golden Empire 48,Author 14,Thriller,AI,Publisher 30,Spanish,938,2016,3.9,4862,797,8358476634346,"A compelling thriller novel by Author 14 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
49,The Silent Secrets 49,Author 39,Thriller,Python,Publisher 1,Hindi,201,2024,3.5,31996,1991,9812538404829,"A compelling thriller novel by Author 39 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
50,The Silent Future 50,Author 23,Horror,Python,Publisher 24,Spanish,759,2022,3.4,48225,1680,1733233466324,"A compelling horror novel by Author 23 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
51,The Bright Journey 51,Author 4,Programming,Contemporary,Publisher 5,Hindi,144,2017,1.9,6079,324,9651344646154,"A compelling programming novel by Author 4 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
52,The Golden Journey 52,Author 14,Young Adult,Python,Publisher 20,Hindi,599,2016,4.5,20224,1944,2506457804674,"A compelling young adult novel by Author 14 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
53,The Golden Mind 53,Author 145,Philosophy,Psychological,Publisher 23,Spanish,817,2014,1.4,9837,638,1656141306870,"A compelling philosophy novel by Author 145 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
54,The Crimson Mind 54,Author 38,Health,Python,Publisher 2,English,542,2014,3.2,20914,1221,9582797805925,"A compelling health novel by Author 38 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
55,The Emerald Mind 55,Author 149,Fantasy,Psychological,Publisher 8,Urdu,558,1990,4.7,3320,1646,9531008465331,"A compelling fantasy novel by Author 149 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
56,The Lost Journey 56,Author 134,Science Fiction,Gothic,Publisher 8,Urdu,338,2025,5.0,46308,1064,2220178524586,"A compelling science fiction novel by Author 134 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
57,The Crimson Mind 57,Author 11,Historical,Cyberpunk,Publisher 7,Urdu,877,1995,3.2,44640,319,7834054190261,"A compelling historical novel by Author 11 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
58,The Dark Dreams 58,Author 37,Health,Medieval,Publisher 28,Spanish,616,1980,4.6,5777,1957,2022068342736,"A compelling health novel by Author 37 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
59,The Crimson Mind 59,Author 25,Horror,Psychological,Publisher 4,English,373,2014,2.5,44093,1902,1286238134409,"A compelling horror novel by Author 25 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
60,The Forgotten Forest 60,Author 35,Biography,Python,Publisher 24,Urdu,529,2004,1.4,48783,560,7536348729281,"A compelling biography novel by Author 35 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
61,The Crimson Empire 61,Author 118,Mystery,Python,Publisher 17,Spanish,759,1993,2.1,35647,1335,5274954348820,"A compelling mystery novel by Author 118 exploring courage, friendship, discovery, and transformation through unforgettable characters and immersive storytelling.",
